name,type,mana_cost,power,toughness,rarity,colors,text
Wrench,Artifact — Clue Equipment,{W},,,uncommon,W,"Equipped creature gets +1/+1 and has vigilance and ""{3}, {T}: Tap target creature.""
{2}, Sacrifice this Equipment: Draw a card.
Equip {2}"
Agency Outfitter,Creature — Sphinx Detective,{4}{U}{U},4,3,uncommon,U,"Flying
When this creature enters, you may search your graveyard, hand and/or library for a card named Magnifying Glass and/or a card named Thinking Cap and put them onto the battlefield. If you search your library this way, shuffle."
Behind the Mask,Instant,{U},,,common,U,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Until end of turn, target artifact or creature becomes an artifact creature with base power and toughness 4/3. If evidence was collected, it has base power and toughness 1/1 until end of turn instead."
Benthic Criminologists,Creature — Merfolk Wizard,{4}{U},4,5,common,U,"Whenever this creature enters or attacks, you may sacrifice an artifact. If you do, draw a card."
Bubble Smuggler,Creature — Octopus Fish,{1}{U},2,1,common,U,"Disguise {5}{U} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
As this creature is turned face up, put four +1/+1 counters on it."
Burden of Proof,Enchantment — Aura,{1}{U},,,uncommon,U,"Flash
Enchant creature
Enchanted creature gets +2/+2 as long as it's a Detective you control. Otherwise, it has base power and toughness 1/1 and can't block Detectives."
Candlestick,Artifact — Clue Equipment,{U},,,uncommon,U,"Equipped creature gets +1/+1 and has ""Whenever this creature attacks, surveil 2."" (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{2}, Sacrifice this Equipment: Draw a card.
Equip {2}"
Case of the Filched Falcon,Enchantment — Case,{U},,,uncommon,U,"When this Case enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
To solve — You control three or more artifacts. (If unsolved, solve at the beginning of your end step.)
Solved — {2}{U}, Sacrifice this Case: Put four +1/+1 counters on target noncreature artifact. It becomes a 0/0 Bird creature with flying in addition to its other types."
Case of the Ransacked Lab,Enchantment — Case,{2}{U},,,rare,U,"Instant and sorcery spells you cast cost {1} less to cast.
To solve — You've cast four or more instant and sorcery spells this turn. (If unsolved, solve at the beginning of your end step.)
Solved — Whenever you cast an instant or sorcery spell, draw a card."
Cold Case Cracker,Creature — Spirit Detective,{3}{U},3,3,common,U,"Flying
When this creature dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Conspiracy Unraveler,Creature — Sphinx Detective,{5}{U}{U},6,6,mythic,U,"Flying
You may collect evidence 10 rather than pay the mana cost for spells you cast. (To collect evidence 10, exile cards with total mana value 10 or greater from your graveyard.)"
Coveted Falcon,Artifact Creature — Bird,{1}{U}{U},1,4,rare,U,"Flying
Whenever this creature attacks, gain control of target permanent you own but don't control.
Disguise {1}{U}
When this creature is turned face up, target opponent gains control of any number of target permanents you control. Draw a card for each one they gained control of this way."
Crimestopper Sprite,Creature — Faerie Detective,{2}{U},2,2,common,U,"As an additional cost to cast this spell, you may collect evidence 6. (Exile cards with total mana value 6 or greater from your graveyard.)
Flying
When this creature enters, tap target creature. If evidence was collected, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Cryptic Coat,Artifact — Equipment,{2}{U},,,rare,U,"When this Equipment enters, cloak the top card of your library, then attach this Equipment to it. (To cloak a card, put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.)
Equipped creature gets +1/+0 and can't be blocked.
{1}{U}: Return this Equipment to its owner's hand."
Curious Inquiry,Enchantment — Aura,{U},,,uncommon,U,"Enchant creature
Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, investigate."" (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Deduce,Instant,{1}{U},,,common,U,"Draw a card. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Dramatic Accusation,Enchantment — Aura,{2}{U},,,common,U,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.
{U}{U}: Shuffle enchanted creature into its owner's library."
Eliminate the Impossible,Instant,{1}{U},,,uncommon,U,"Investigate. Creatures your opponents control get -2/-0 until end of turn. If any of them are suspected, they're no longer suspected. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Exit Specialist,Creature — Human Detective,{1}{U},2,1,uncommon,U,"This creature can't be blocked by creatures with power 3 or greater.
Disguise {1}{U} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, return another target creature to its owner's hand."
Fae Flight,Enchantment — Aura,{1}{U},,,uncommon,U,"Flash
Enchant creature
When this Aura enters, enchanted creature gains hexproof until end of turn.
Enchanted creature gets +1/+0 and has flying."
Forensic Gadgeteer,Creature — Vedalken Artificer Detective,{2}{U},2,3,rare,U,"Whenever you cast an artifact spell, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Activated abilities of artifacts you control cost {1} less to activate. This effect can't reduce the mana in that cost to less than one mana."
Forensic Researcher,Creature — Merfolk Detective,{2}{U},1,3,uncommon,U,"{T}: Untap another target permanent you control.
{T}, Collect evidence 3: Tap target creature you don't control. (To collect evidence 3, exile cards with total mana value 3 or greater from your graveyard.)"
Furtive Courier,Creature — Merfolk Advisor,{2}{U},3,2,uncommon,U,"This creature can't be blocked as long as you've sacrificed an artifact this turn.
Whenever this creature attacks, draw a card, then discard a card."
Hotshot Investigators,Creature — Vedalken Detective,{5}{U},4,4,common,U,"When this creature enters, return up to one other target creature to its owner's hand. If you controlled it, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Intrude on the Mind,Instant,{3}{U}{U},,,mythic,U,"Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. Create a 0/0 colorless Thopter artifact creature token with flying, then put a +1/+1 counter on it for each card put into your graveyard this way."
Jaded Analyst,Creature — Human Detective,{1}{U},3,2,common,U,"Defender
Whenever you draw your second card each turn, this creature loses defender and gains vigilance until end of turn."
Living Conundrum,Creature — Elemental,{4}{U},2,5,uncommon,U,"Hexproof
If you would draw a card while your library has no cards in it, skip that draw instead.
As long as there are no cards in your library, this creature has base power and toughness 10/10 and has flying and vigilance."
Lost in the Maze,Enchantment,{X}{U}{U},,,rare,U,"Flash
When this enchantment enters, tap X target creatures. Put a stun counter on each of those creatures you don't control. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Tapped creatures you control have hexproof."
Mistway Spy,Creature — Merfolk Detective,{U},1,1,uncommon,U,"Flying
Disguise {1}{U} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, until end of turn, whenever a creature you control deals combat damage to a player, investigate."
Out Cold,Instant,{3}{U},,,common,U,"This spell can't be countered. (This includes by the ward ability.)
Tap up to two target creatures and put a stun counter on each of them. Investigate. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Proft's Eidetic Memory,Legendary Enchantment,{1}{U},,,rare,U,"When Proft's Eidetic Memory enters, draw a card.
You have no maximum hand size.
At the beginning of combat on your turn, if you've drawn more than one card this turn, put X +1/+1 counters on target creature you control, where X is the number of cards you've drawn this turn minus one."
Projektor Inspector,Creature — Human Detective,{2}{U},3,2,common,U,"Whenever this creature or another Detective you control enters and whenever a Detective you control is turned face up, you may draw a card. If you do, discard a card."
Reasonable Doubt,Instant,{1}{U},,,common,U,"Counter target spell unless its controller pays {2}.
Suspect up to one target creature. (A suspected creature has menace and can't block.)"
Reenact the Crime,Instant,{1}{U}{U}{U},,,rare,U,Exile target nonland card in a graveyard that was put there from anywhere this turn. Copy it. You may cast the copy without paying its mana cost.
Steamcore Scholar,Creature — Weird Detective,{2}{U},2,2,rare,U,"Flying, vigilance
When this creature enters, draw two cards. Then discard two cards unless you discard an instant or sorcery card or a creature card with flying."
Sudden Setback,Instant,{2}{U}{U},,,uncommon,U,The owner of target spell or nonland permanent puts it on their choice of the top or bottom of their library.
Surveillance Monitor,Creature — Vedalken Detective,{3}{U},3,3,uncommon,U,"When this creature enters, you may collect evidence 4. (Exile cards with total mana value 4 or greater from your graveyard.)
Whenever you collect evidence, create a 1/1 colorless Thopter artifact creature token with flying."
Unauthorized Exit,Instant,{1}{U},,,common,U,Return target nonland permanent to its owner's hand. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Agency Coroner,Creature — Ogre Cleric,{4}{B},3,6,common,B,"{2}{B}, Sacrifice another creature: Draw a card. If the sacrificed creature was suspected, draw two cards instead."
Alley Assailant,Creature — Vampire Rogue,{2}{B},3,3,common,B,"This creature enters tapped.
Disguise {4}{B}{B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, target opponent loses 3 life and you gain 3 life."
Barbed Servitor,Artifact Creature — Construct,{3}{B},1,1,rare,B,"Indestructible
When this creature enters, suspect it. (It has menace and can't block.)
Whenever this creature deals combat damage to a player, you draw a card and you lose 1 life.
Whenever this creature is dealt damage, target opponent loses that much life."
Basilica Stalker,Creature — Vampire Detective,{5}{B},3,4,common,B,"Flying
Whenever this creature deals combat damage to a player, you gain 1 life and surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Disguise {4}{B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)"
